,cleaned_tweet,label
0,woman shouldnt complain cleaning house amp man always take trash,2
1,boy dat coldtyga dwn bad cuffin dat hoe place,1
2,dawg ever fuck bitch start cry confused shit,1
3,look like tranny,1
4,shit hear might true might faker bitch told,1
5,shit blow meclaim faithful somebody still fucking hoe,1
6,sit hate another bitch got much shit going,1
7,cause tired big bitch coming skinny girl,1
8,amp might get bitch back amp thats,1
9,hobby include fighting mariam bitch,1
10,keeks bitch curve everyone lol walked conversation like smh,1
11,murda gang bitch gang land,1
12,hoe smoke loser yea,1
13,bad bitch thing like,1
14,bitch get,1
15,bitch nigga miss,1
16,bitch plz whatever,1
17,bitch love,1
18,bitch get cut everyday,1
19,black bottle amp bad bitch,1
20,broke bitch cant tell nothing,1
21,cancel bitch like nino,1
22,cant see hoe wont change,1
23,fuck bitch dont even suck dick kermit video bout fuck,1
24,got bitch tip toeing hardwood floor,1
25,pussy lip like heaven door,1
26,hoe hitting,1
27,met pussy ocean gave pussy pill,1
28,need trippy bitch fuck hennessy,1
29,spend money want bitch business,1
30,txt old bitch new bitch pussy wetter,1
31,say back old old bitch would get excited,1
32,aint bout murder game pussy nigga shut,1
33,youre toe aint done pussy stink,1
34,done bitter bitch wrap angry bird there app,1
35,bitch,1
36,aint nothing cut bitch,1
37,jus meet son mane bitch,1
38,lame cry hoe thats tear clown,1
39,like snoop said dont love hoe,1
40,momma said pussy cat inside doghouse,2
41,hated hoe favorite,1
42,nice girl bad make get naughty bad yello hoe real nice body south chick like real thick,1
43,pimp pimp hoe future voice,1
44,post picture pussy get like,1
45,pussy powerful drug,1
46,quick piece pussy call drive,1
47,running round like brand new pussy thats bout get fucked,1
48,bitch even worst theyll send guy,1
49,hoe like nigga spend money talk bout,1
50,dont trust nigga bitch,1
51,yall nigga cuffing hoe cause yall aint never bitch,1
52,dodge bullet bitch cut pregnant bound thank god,1
53,young pill chamberlain bitch love music,1
54,teanna trump probably cleaner twitter hoe,1
55,gay nigga couldnt wait act like bitch tonight,1
56,ima steal cat replace pitbull bitch,1
57,amp gone always hoe,1
58,son bitch took tic tacs like movie,1
59,wan get money fuck model bitch russell simmons,1
60,probably wouldnt mind school much didnt deal bitch teacher retweet,1
61,fucking fag said,1
62,female think dating pussy cute stuff make pussy,1
63,simplyaddictedtoguys woof woof hot scally lad,2
64,ever asked bitch bitch kanye voice yes,1
65,gone bring side bitch game know friend swear,1
66,woof woof hot sol,2
67,lemmie eat oreo amp dish one oreo lol,2
68,bitch fuck maybe youll get better,1
69,fuck red malone man bitch niggah could please use complete sentence,1
70,eggplant emoji doey say looked like scream lmao,2
71,hennessey venom thats one sexy bitch,1
72,seh pussy wetter shower curtainltlmao,1
73,every need see pic posted bitch said racist shit,1
74,fuck skateboarding yall wood pushing faggot man ball life,1
75,baby monkey bathtime soooo adorable,2
